,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
292,floro,NO,61.6,5.03,1587947281,6.0,87,98,2.1
293,sao gabriel da cachoeira,BR,-0.13,-67.09,1587947281,24.41,92,82,0.67
294,ulaanbaatar,MN,47.91,106.88,1587947281,8.0,39,0,1.43
295,yei,SS,4.09,30.68,1587947281,22.0,63,61,3.04
296,fortuna,US,40.6,-124.16,1587947282,17.22,62,40,4.6
297,benghazi,LY,32.12,20.07,1587947143,21.99,53,68,6.17
298,ishinomaki,JP,38.42,141.3,1587947282,13.0,50,75,3.6
299,luwuk,ID,-0.95,122.79,1587947282,28.21,61,100,1.58
300,the valley,AI,18.22,-63.06,1587947283,27.0,74,20,7.7
301,deogarh,IN,21.53,84.73,1587947283,23.26,73,11,1.35
302,vikulovo,RU,56.82,70.61,1587947283,7.25,57,4,3.29
303,sibolga,ID,1.74,98.78,1587947255,25.37,79,100,1.64
304,esmeraldas,BR,-19.76,-44.31,1587947187,22.0,73,29,4.1
305,paamiut,GL,61.99,-49.67,1587947284,0.89,91,100,4.79
306,newport,GB,51.59,-3.0,1587947151,11.67,85,68,2.21
307,saldanha,ZA,-33.01,17.94,1587947284,18.0,77,100,8.7
308,margate,GB,51.38,1.39,1587947285,8.33,90,32,0.89
309,kenai,US,60.55,-151.26,1587947285,11.0,32,1,5.1
310,jutai,BR,-5.18,-68.9,1587947000,23.87,87,86,0.48
311,durres,AL,41.32,19.44,1587947285,10.0,87,30,1.5
312,atyrau,KZ,47.12,51.88,1587947286,10.0,81,75,3.0
313,marystown,CA,47.17,-55.15,1587947286,1.32,86,52,5.45
314,touros,BR,-5.2,-35.46,1587947286,25.0,94,40,1.5
315,ilulissat,GL,69.22,-51.1,1587947037,6.0,41,92,8.2
316,aranos,NA,-24.13,19.12,1587947287,22.16,18,71,3.46
317,jacareacanga,BR,-6.22,-57.75,1587947287,24.39,88,91,0.74
318,port hardy,CA,50.7,-127.42,1587947287,10.0,81,90,8.2
319,kavaratti,IN,10.57,72.64,1587947288,29.36,75,44,4.97
320,guerrero negro,MX,27.98,-114.06,1587947288,24.65,50,0,6.98
321,kasrawad,IN,22.13,75.6,1587947288,28.38,40,38,4.92
322,tagusao,PH,9.19,117.81,1587947289,29.05,66,100,1.99
323,tromso,NO,69.65,18.96,1587947289,0.0,95,75,7.7
324,broome,US,42.25,-75.83,1587947289,3.33,84,90,4.1
325,fare,PF,-16.7,-151.02,1587947290,28.65,73,56,7.81
326,geraldton,AU,-28.77,114.6,1587947290,19.0,68,100,4.6
327,svetlaya,RU,46.54,138.33,1587947290,3.95,73,24,1.41
328,caravelas,BR,-17.71,-39.25,1587947290,23.71,77,13,5.54
329,soeng sang,TH,14.43,102.46,1587947291,23.08,71,71,3.29
330,kalmunai,LK,7.42,81.82,1587947291,27.87,79,7,1.29
331,mecca,SA,21.43,39.83,1587947291,24.24,29,0,2.62
332,pafos,CY,34.77,32.42,1587947014,12.0,87,20,3.1
333,port lincoln,AU,-34.73,135.87,1587947292,15.34,63,26,1.45
334,ahipara,NZ,-35.17,173.17,1587947292,18.82,73,67,3.42
335,okato,NZ,-39.2,173.88,1587947292,17.22,73,91,4.02
336,kodinsk,RU,58.69,99.18,1587947292,8.79,50,0,1.22
337,ouadda,CF,8.08,22.4,1587947293,24.29,38,100,1.04
338,asau,RO,46.43,26.4,1587947293,3.89,74,80,0.9
339,chilakalurupet,IN,16.08,80.17,1587947293,27.51,87,98,3.75
340,moron,AR,-34.65,-58.62,1587947294,20.0,88,91,4.6
341,ous,RU,60.91,61.52,1587947294,1.42,87,99,1.19
342,paombong,PH,14.83,120.78,1587947294,31.11,62,20,1.0
343,srednekolymsk,RU,67.45,153.68,1587947294,0.22,98,36,2.01
344,norman wells,CA,65.28,-126.83,1587946998,0.0,91,40,9.3
345,alugan,PH,12.22,125.48,1587947295,27.57,83,95,5.8
346,ajaccio,FR,42.0,8.92,1587947295,12.0,87,75,3.6
347,ponta delgada,PT,37.73,-25.67,1587947295,13.0,71,20,2.1
348,ambam,CM,2.38,11.28,1587947295,19.69,82,68,0.21
349,sitka,US,57.05,-135.33,1587947024,9.0,61,90,9.8
350,kirovo-chepetsk,RU,58.55,50.04,1587947296,0.53,93,100,0.88
351,namatanai,PG,-3.67,152.43,1587947296,28.78,70,73,3.6
352,lillooet,CA,50.69,-121.94,1587947296,14.0,41,1,6.2
353,savannah bight,HN,16.45,-85.85,1587947296,27.78,79,1,12.91
354,tateyama,JP,34.98,139.87,1587947296,17.78,72,75,4.6
355,quang ngai,VN,15.12,108.8,1587947280,24.95,82,98,2.58
356,saint-philippe,RE,-21.36,55.77,1587947298,24.0,73,90,2.6
357,zhanakorgan,KZ,43.91,67.25,1587947298,22.05,49,16,4.76
358,kutum,SD,14.2,24.67,1587947298,21.82,15,17,2.29
359,codrington,AU,-38.27,141.97,1587947299,13.95,69,99,4.95
360,sorland,NO,67.67,12.69,1587947299,2.5,79,36,11.62
361,chokwe,MZ,-24.53,32.98,1587947299,18.61,90,0,1.1
362,vieux-habitants,GP,16.06,-61.77,1587947300,26.0,69,65,3.1
363,davila,PH,18.47,120.58,1587947300,30.0,74,20,0.5
364,itoman,JP,26.12,127.67,1587947300,20.0,82,75,3.6
365,tabuk,PH,17.42,121.44,1587947301,26.19,72,84,0.91
366,mananjary,MG,-21.22,48.33,1587947301,23.84,84,15,5.47
367,kamuli,UG,0.95,33.12,1587947301,18.07,69,96,1.55
368,marawi,PH,8.0,124.29,1587947301,28.89,76,95,1.79
369,midland,US,32.0,-102.08,1587947279,31.0,21,1,8.2
370,miraflores,MX,19.22,-98.81,1587947302,25.0,22,40,6.7
371,rio gallegos,AR,-51.62,-69.22,1587947302,2.0,74,13,1.5
372,ust-nera,RU,64.57,143.2,1587947302,-2.15,85,68,3.46
373,menongue,AO,-14.66,17.69,1587947302,15.24,48,8,1.89
374,panguna,PG,-6.32,155.48,1587947303,28.48,53,36,0.79
375,elizabeth city,US,36.29,-76.25,1587947303,21.0,56,20,1.5
376,olga,RU,43.74,135.29,1587947303,6.38,62,99,2.28
377,ashland,US,40.82,-82.27,1587947029,8.0,70,90,7.7
378,petatlan,MX,17.52,-101.27,1587947303,30.03,40,20,2.05
379,swan river,CA,52.11,-101.27,1587947304,8.34,64,71,10.06
380,benemerito de las americas,MX,16.52,-90.64,1587947304,34.83,25,43,1.05
381,hlotse,LS,-28.87,28.05,1587947304,11.53,40,65,1.12
382,puerto baquerizo moreno,EC,-0.9,-89.6,1587947304,25.0,83,75,4.6
383,baruun-urt,MN,46.68,113.28,1587947305,10.15,27,22,6.64
384,marzuq,YE,14.4,46.47,1587947305,23.33,42,3,1.68
385,abilene,US,32.45,-99.73,1587947275,28.0,28,1,6.2
386,borinskoye,RU,52.46,39.37,1587947305,4.0,93,90,6.0
387,yokadouma,CM,3.52,15.05,1587947306,21.68,83,99,1.87
388,phonhong,LA,18.5,102.42,1587947306,23.0,73,75,1.0
389,yekaterinoslavka,RU,50.37,129.11,1587947306,8.39,47,71,1.57
390,gornopravdinsk,RU,60.05,69.9,1587947306,7.72,63,65,4.35
391,sovetskiy,RU,61.36,63.58,1587947306,3.06,90,100,1.72
392,bekwai,GH,6.45,-1.58,1587947307,24.17,87,100,1.95
393,nanortalik,GL,60.14,-45.24,1587947307,1.59,86,66,15.51
394,uthal,PK,25.81,66.62,1587947307,24.87,67,0,0.71
395,ushtobe,KZ,45.25,77.98,1587947307,14.96,57,55,3.73
396,rocha,UY,-34.48,-54.33,1587947307,14.58,85,24,3.69
397,sawakin,SD,19.11,37.33,1587947308,24.09,64,0,5.51
398,brazzaville,CG,-4.27,15.28,1587947308,24.0,88,40,3.1
399,todos santos,MX,23.45,-110.22,1587947308,23.33,70,20,0.45
400,urengoy,RU,65.97,78.37,1587947308,-2.12,98,100,4.29
401,basco,PH,20.45,121.97,1587947308,25.78,86,98,8.01
402,ormond beach,US,29.29,-81.06,1587947305,27.0,54,75,4.6
403,la ronge,CA,55.1,-105.28,1587947309,4.0,69,75,11.3
404,villepinte,FR,48.96,2.53,1587947309,13.33,47,28,2.6
405,cascavel,BR,-24.96,-53.46,1587947309,19.54,57,15,0.72
406,edd,ER,13.93,41.69,1587947309,30.4,65,95,1.77
407,wadi musa,JO,30.32,35.48,1587947310,10.92,41,21,0.39
408,bandarbeyla,SO,9.49,50.81,1587947310,28.26,76,54,3.2
409,almeirim,BR,-1.52,-52.58,1587947310,24.17,94,100,1.1
410,bolu,TR,40.67,31.58,1587947160,8.91,47,57,0.46
411,boyolangu,ID,-8.12,111.89,1587947310,26.03,82,55,1.29
412,clonakilty,IE,51.62,-8.87,1587947310,9.44,87,75,2.6
413,talnakh,RU,69.49,88.4,1587947311,-4.0,92,40,6.0
414,vila franca do campo,PT,37.72,-25.43,1587947311,13.0,71,20,2.1
415,waipawa,NZ,-41.41,175.52,1587947311,16.11,87,89,11.8
416,boa vista,BR,2.82,-60.67,1587947109,32.0,46,60,2.6
417,opuwo,NA,-18.06,13.84,1587947312,17.25,41,22,1.5
418,valleyview,CA,55.07,-117.29,1587947312,12.53,29,28,4.71
419,durango,MX,24.83,-104.83,1587947257,21.25,23,29,2.5
420,saint anthony,US,45.02,-93.22,1587947054,17.22,45,1,5.7
421,high level,CA,58.52,-117.14,1587947313,2.0,51,75,1.0
422,sibut,CF,5.72,19.07,1587947313,22.17,75,100,2.71
423,itaperuna,BR,-21.2,-41.89,1587947164,19.33,84,7,0.95
424,nouadhibou,MR,20.93,-17.03,1587947313,18.0,77,9,7.7
425,maniitsoq,GL,65.42,-52.9,1587947314,1.03,87,98,5.68
426,hasaki,JP,35.73,140.83,1587947314,15.0,62,75,6.2
427,fort oglethorpe,US,34.95,-85.26,1587947314,12.0,66,75,5.7
428,buchanan,LR,5.88,-10.05,1587947314,26.0,94,75,3.07
429,arkhangelsk,RU,64.54,40.54,1587947315,-2.0,92,75,1.0
430,progress,US,40.29,-76.83,1587947315,7.0,93,90,1.5
431,sur,OM,22.57,59.53,1587947315,30.4,41,0,5.29
432,pontianak,ID,-0.03,109.33,1587947028,25.0,94,75,1.33
433,beringovskiy,RU,63.05,179.32,1587947316,-5.09,93,11,4.09
434,ewa beach,US,21.32,-158.01,1587947256,29.0,48,75,3.1
435,santa clara,CU,22.4,-79.97,1587947316,26.0,83,75,2.6
436,valparaiso,CL,-33.04,-71.63,1587947286,16.0,87,75,2.1
437,taos,US,36.41,-105.57,1587947316,22.0,11,1,9.8
438,chapais,CA,49.78,-74.85,1587947317,1.0,40,1,2.6
439,bukama,CD,-9.2,25.85,1587947317,21.14,68,8,0.66
440,shenjiamen,CN,29.96,122.3,1587947318,15.56,88,18,2.65
441,sao filipe,CV,14.9,-24.5,1587947318,22.63,76,61,5.31
442,znamenskoye,RU,57.13,73.83,1587947318,6.71,59,1,2.59
443,poopo,BO,-18.37,-66.97,1587947319,10.23,19,42,4.94
444,kaili,ID,-3.46,120.21,1587947319,24.34,55,72,0.32
445,doha,QA,25.29,51.53,1587947135,32.0,29,31,5.7
446,jalingo,NG,8.88,11.37,1587947319,27.33,58,96,2.51
447,londa,IN,15.47,74.52,1587947319,21.0,88,16,1.22
448,poum,NC,-20.23,164.02,1587947320,24.7,73,76,5.76
449,tucuman,AR,-26.82,-65.22,1587947320,19.0,93,90,0.21
450,pak thong chai,TH,14.72,102.03,1587947320,23.49,68,51,3.63
451,wagar,SD,16.15,36.2,1587947320,22.43,61,0,5.79
452,padang,ID,-0.95,100.35,1587947321,24.67,84,100,1.18
453,cunha,BR,-23.07,-44.96,1587947321,15.03,70,5,0.99
454,beloha,MG,-25.17,45.05,1587947321,18.7,70,21,5.77
455,lermontovka,RU,47.15,134.34,1587947321,8.47,52,60,1.19
456,woodward,US,36.43,-99.39,1587947064,26.0,29,1,7.7
457,zonguldak,TR,41.25,31.83,1587947322,8.75,65,42,1.92
458,kulhudhuffushi,MV,6.62,73.07,1587947322,29.12,78,98,5.77
459,mersing,MY,2.43,103.84,1587947322,25.0,94,20,2.1
460,barguzin,RU,53.62,109.62,1587947322,10.78,57,100,1.21
461,bunia,CD,1.57,30.25,1587947113,19.51,61,95,1.18
462,mandalgovi,MN,45.76,106.27,1587947323,11.7,24,0,3.89
463,tigil,RU,57.8,158.67,1587947323,0.44,89,19,2.89
464,xining,CN,36.62,101.77,1587947323,8.73,17,0,0.88
465,kanniyakumari,IN,8.08,77.57,1587947324,28.56,80,99,5.38
466,lorca,ES,37.67,-1.7,1587947045,14.44,80,55,2.24
467,mirabad,AF,30.44,61.84,1587947324,29.12,16,74,4.94
468,kirakira,SB,-10.45,161.92,1587947325,30.08,60,83,2.1
469,yeppoon,AU,-23.13,150.73,1587947325,26.0,61,20,4.6
470,gualeguaychu,AR,-33.01,-58.52,1587947325,20.0,78,93,4.02
471,bubaque,GW,11.28,-15.83,1587947325,25.86,67,91,7.58
472,te anau,NZ,-45.42,167.72,1587947325,13.11,67,82,3.04
473,olinda,BR,-8.01,-34.86,1587947326,27.0,83,75,2.1
474,arlit,NE,18.74,7.39,1587947326,31.12,10,5,2.31
475,bowen,AU,-20.02,148.23,1587947326,28.0,54,8,7.7
476,monrovia,LR,6.3,-10.8,1587947314,26.0,94,75,3.49
477,tiarei,PF,-17.53,-149.33,1587947327,26.0,88,83,1.5
478,mocuba,MZ,-16.84,36.99,1587947327,19.98,93,36,1.25
479,ortega,CO,3.94,-75.22,1587947327,28.0,69,40,1.5
480,birin,NP,26.89,88.07,1587947327,7.0,93,20,0.5
481,kaeo,NZ,-35.1,173.78,1587947328,21.11,71,20,1.57
482,bonfim,BR,3.08,-59.95,1587947328,30.14,54,88,5.09
483,pacific grove,US,36.62,-121.92,1587947312,20.56,45,1,6.2
484,deputatskiy,RU,69.3,139.9,1587947328,-0.66,79,100,3.52
485,black river,JM,18.03,-77.85,1587947328,29.0,74,75,3.6
486,ulaangom,MN,49.98,92.07,1587947328,12.25,27,96,1.53
487,tautira,PF,-17.73,-149.15,1587947329,26.0,88,92,1.5
488,divnomorskoye,RU,44.5,38.14,1587947329,11.32,87,50,3.28
489,nueva italia,PY,-25.62,-57.5,1587947329,29.0,58,20,2.1
490,churapcha,RU,62.0,132.43,1587947329,2.14,85,97,3.16
491,hare bay,CA,48.85,-54.01,1587947329,2.0,47,20,4.1
492,obodivka,UA,48.41,29.25,1587947330,6.67,71,0,3.49
493,babynino,RU,54.39,35.73,1587947330,1.0,80,17,1.79
494,banjar,ID,-8.19,114.97,1587947330,28.0,88,20,1.0
495,matera,IT,40.5,16.42,1587947330,15.0,93,75,2.6
496,ayan,RU,56.45,138.17,1587947331,2.39,75,0,1.93
497,gravdal,NO,68.12,13.5,1587947331,2.18,81,23,9.88
498,praia,CV,14.92,-23.51,1587947331,22.0,73,75,7.2
499,nuuk,GL,64.18,-51.72,1587947160,1.0,86,75,0.5
500,san cristobal,VE,7.77,-72.22,1587947331,21.05,59,27,0.23
501,sainte-thecle,CA,46.82,-72.5,1587947107,7.78,23,100,1.34
502,yuxia,CN,34.06,108.63,1587947332,18.33,58,0,5.0
503,ostrovskoye,RU,57.81,42.24,1587947332,-0.37,86,1,0.43
504,cadillac,US,44.25,-85.4,1587947332,13.0,20,1,3.6
505,la pena,FR,43.28,5.52,1587947333,15.0,87,75,2.6
506,galveston,US,29.37,-94.97,1587947333,25.56,50,1,4.6
507,ontario,US,34.06,-117.65,1587947044,32.78,22,75,5.1
508,avera,US,33.19,-82.53,1587947333,20.0,42,40,7.2
509,redding,US,40.59,-122.39,1587947334,29.0,25,1,2.6
510,impfondo,CG,1.64,18.07,1587947334,22.74,88,99,0.33
511,uyemskiy,RU,64.47,40.85,1587947334,-2.0,92,75,1.0
512,tessalit,ML,20.2,1.01,1587947334,28.8,12,3,5.12
513,jibuti,DJ,11.5,42.5,1587947335,29.0,83,90,2.1
514,turukhansk,RU,65.82,87.98,1587947335,-1.26,97,91,1.82
515,summerville,US,33.02,-80.18,1587947336,22.22,35,1,3.6
516,horta,PT,38.53,-28.63,1587947336,13.84,63,100,2.61
517,neuquen,AR,-38.95,-68.06,1587947156,14.0,93,75,2.6
518,nantucket,US,41.28,-70.1,1587947293,9.0,93,90,8.2
519,ambilobe,MG,-13.2,49.05,1587947337,24.33,89,70,1.57
520,krasnogorskoye,RU,52.3,86.2,1587947337,9.0,86,100,1.25
521,kiama,AU,-34.68,150.87,1587947337,20.56,60,40,1.5
522,camacari,BR,-12.7,-38.32,1587947088,27.0,83,40,3.6
523,amapa,BR,1.0,-52.0,1587947338,23.05,94,100,1.36
524,saint-leu,RE,-21.15,55.28,1587947338,24.0,73,90,2.6
525,beira,MZ,-19.84,34.84,1587947338,25.0,73,19,3.6
526,marsabit,KE,2.33,37.99,1587947339,20.18,56,28,6.05
527,jalu,LY,29.03,21.55,1587947339,26.2,22,4,7.64
528,coquimbo,CL,-29.95,-71.34,1587947339,15.0,87,34,1.5
529,noumea,NC,-22.28,166.46,1587947215,27.0,54,86,4.1
530,kieta,PG,-6.22,155.63,1587947341,30.77,59,44,1.18
531,nola,IT,40.92,14.53,1587947341,11.67,76,4,0.5
532,mabaruma,GY,8.2,-59.78,1587947341,24.53,87,85,2.7
533,flin flon,CA,54.77,-101.86,1587947341,5.0,86,90,1.5
534,rawson,AR,-43.3,-65.1,1587947342,15.45,78,97,10.43
535,gwadar,PK,25.12,62.33,1587947342,26.46,79,0,1.86
536,biak,ID,-0.91,122.88,1587947342,27.27,64,99,1.86
537,novozavidovskiy,RU,56.55,36.43,1587947343,1.3,78,86,1.39
538,nokaneng,BW,-19.67,22.27,1587947343,20.26,35,2,1.86
539,vestmannaeyjar,IS,63.44,-20.27,1587947343,6.94,81,83,1.22
540,najran,SA,17.49,44.13,1587947344,25.0,38,40,1.76
541,anadyr,RU,64.75,177.48,1587947344,-10.0,92,40,3.0
542,general pico,AR,-35.66,-63.76,1587947344,15.68,83,100,6.02
543,grakhovo,RU,56.05,51.97,1587947345,7.0,45,96,6.0
544,indapur,IN,18.3,73.25,1587947345,23.12,82,32,0.63
545,flinders,AU,-34.58,150.86,1587947345,20.0,60,40,1.5
546,imeni vorovskogo,RU,55.72,38.34,1587947345,3.89,74,32,0.87
547,viedma,AR,-40.81,-63.0,1587947228,14.49,74,100,7.44
548,guca,RS,43.78,20.23,1587947346,8.0,100,20,0.5
549,zapolyarnyy,RU,69.42,30.81,1587947346,-1.0,80,84,8.2
550,haines junction,CA,60.75,-137.51,1587947346,1.32,63,72,0.94
551,gamba,GA,-2.65,10.0,1587947347,25.36,87,35,1.37
552,koregaon,IN,18.65,74.08,1587947347,22.35,53,53,2.79
553,sao miguel do guama,BR,-1.63,-47.48,1587947142,24.18,94,100,1.86
554,eureka,US,40.8,-124.16,1587947300,17.78,62,40,4.6
555,montalvo,EC,-1.8,-79.33,1587947348,27.4,66,94,0.23
556,royal tunbridge wells,GB,51.13,0.26,1587947348,7.78,90,20,1.09
557,muros,ES,42.78,-9.06,1587947348,13.33,86,96,4.47
558,nouakchott,MR,18.09,-15.98,1587947181,22.0,73,52,6.2
559,tazovskiy,RU,67.47,78.7,1587947349,-5.77,96,100,2.7
560,jiwani,PK,25.05,61.74,1587947349,26.4,86,1,0.38
561,carbonia,IT,39.17,8.52,1587947350,16.11,82,40,1.0
562,chabahar,IR,25.29,60.64,1587947351,26.33,73,9,0.97
563,yarim,YE,14.3,44.38,1587947351,14.16,43,26,0.56
564,khandbari,NP,27.37,87.2,1587947351,18.85,40,89,1.77
565,alta floresta,BR,-9.88,-56.09,1587947352,22.93,89,94,1.39
566,chongwe,ZM,-15.33,28.68,1587947352,15.0,72,7,2.2
567,chernyshevsk,RU,52.52,117.02,1587947352,13.71,41,95,3.23
568,salalah,OM,17.02,54.09,1587947353,28.0,78,20,1.0
569,terrak,NO,65.09,12.37,1587947353,4.0,88,48,2.1
570,antofagasta,CL,-23.65,-70.4,1587947355,18.0,77,90,3.6
571,lasa,IT,46.62,10.7,1587947357,9.44,81,75,3.1
572,palana,RU,59.12,159.97,1587947358,-1.87,90,0,1.16
573,redmond,US,47.67,-122.12,1587947159,17.22,48,1,1.5
574,lensk,RU,60.73,114.93,1587947358,3.16,70,7,3.34
575,oktyabrskoye,RU,43.06,44.74,1587947358,8.29,44,22,1.83
576,sabang,ID,5.89,95.32,1587947359,28.21,75,96,3.57
577,charters towers,AU,-20.1,146.27,1587947359,25.27,47,1,5.68
578,hofn,IS,64.25,-15.21,1587947360,1.58,81,60,2.47
579,luanda,AO,-8.84,13.23,1587947360,25.0,83,40,3.1
580,yarmouth,US,41.71,-70.23,1587947360,9.0,87,90,8.7
581,hailar,CN,49.2,119.7,1587947361,10.6,31,95,5.88
582,skelleftea,SE,64.75,20.95,1587947361,1.0,64,33,2.6
583,roberval,CA,48.52,-72.23,1587947361,3.0,44,20,3.1
584,black forest,US,39.01,-104.7,1587947125,17.22,31,90,4.1
585,benjamin aceval,PY,-24.97,-57.57,1587947362,29.0,58,20,2.1
